((39, 54, 9), 18)
((16, 35, 21), 14)
((30, 31, 16), 14)
((25, 24, 8), 14)
((40, 55, 10), 14)
((24, 23, 7), 14)
((17, 35, 21), 14)
((40, 56, 11), 14)
((38, 53, 8), 14)
((11, 36, 25), 13)
((25, 23, 7), 13)
((28, 32, 16), 13)
((24, 24, 8), 13)
((31, 30, 16), 13)
((26, 25, 9), 13)
((32, 30, 17), 13)
((23, 25, 9), 12)
((14, 36, 23), 12)
((25, 22, 6), 12)
((13, 35, 23), 12)
((41, 55, 11), 12)
((18, 35, 20), 12)
((24, 22, 6), 12)
((33, 29, 17), 12)
((12, 35, 24), 12)
((8, 37, 28), 12)
((41, 58, 13), 12)
((12, 37, 25), 12)
((10, 36, 26), 12)
((42, 57, 13), 12)
((29, 31, 16), 12)
((5, 36, 30), 12)
((33, 30, 17), 11)
((1, 37, 34), 11)
((34, 29, 18), 11)
((31, 31, 17), 11)
((29, 32, 16), 11)
((24, 26, 9), 11)
((22, 34, 18), 11)
((40, 57, 12), 11)
((5, 35, 30), 11)
((7, 36, 28), 11)
((11, 37, 26), 11)
((32, 31, 17), 11)
((26, 33, 16), 11)
((27, 32, 16), 11)
((18, 37, 22), 11)
((11, 35, 25), 11)
((39, 55, 10), 11)
((7, 37, 29), 11)
((6, 36, 29), 11)
((25, 26, 9), 11)
((17, 36, 21), 11)
((4, 36, 31), 11)
((15, 35, 22), 11)
((49, 61, 21), 10)
((8, 36, 27), 10)
((36, 26, 19), 10)
((16, 36, 21), 10)
((25, 25, 9), 10)
((20, 29, 14), 10)
((13, 36, 24), 10)
((29, 29, 14), 10)
((37, 25, 20), 10)
((42, 61, 16), 10)
((27, 27, 11), 10)
((30, 32, 17), 10)
((43, 60, 16), 10)
((29, 28, 13), 10)
((34, 34, 21), 10)
((12, 36, 24), 10)
((21, 35, 18), 10)
((38, 24, 21), 10)
((30, 28, 14), 10)
((27, 33, 17), 10)
((45, 58, 16), 10)
((31, 31, 16), 10)
((44, 59, 16), 10)
((35, 33, 21), 10)
((45, 60, 17), 10)
((43, 58, 14), 10)
((40, 22, 23), 10)
((22, 27, 11), 10)
((28, 27, 12), 10)
((39, 23, 22), 10)
((18, 36, 21), 10)
((26, 26, 10), 10)
((36, 32, 21), 10)
((6, 35, 29), 10)
((41, 59, 14), 10)
((23, 34, 17), 10)
((43, 56, 13), 10)
((21, 34, 18), 10)
((40, 58, 13), 10)
((41, 62, 17), 10)
((9, 36, 26), 10)
((17, 37, 22), 10)
((23, 26, 10), 10)
((8, 35, 27), 10)
((41, 56, 11), 10)
((21, 27, 12), 10)
((3, 36, 32), 10)
((41, 57, 12), 10)
((37, 53, 7), 10)
((39, 24, 21), 10)
((46, 64, 21), 10)
((38, 52, 7), 10)
((18, 30, 16), 10)
((41, 61, 16), 10)
((39, 56, 11), 10)
((7, 35, 28), 10)
((24, 25, 9), 10)
((16, 36, 22), 10)
((20, 35, 19), 10)
((6, 37, 30), 10)
((15, 37, 23), 10)
((50, 63, 23), 9)
((10, 35, 26), 9)
((42, 66, 21), 9)
((38, 54, 9), 9)
((2, 48, 40), 9)
((32, 33, 19), 9)
((1, 47, 40), 9)
((39, 53, 9), 9)
((2, 36, 33), 9)
((15, 34, 21), 9)
((19, 28, 14), 9)
((50, 66, 25), 9)
((14, 33, 21), 9)
((26, 27, 11), 9)
((8, 44, 33), 9)
((53, 70, 30), 9)
((51, 69, 28), 9)
((59, 71, 35), 9)
((9, 38, 28), 9)
((41, 60, 15), 9)
((19, 36, 19), 9)
((33, 32, 19), 9)
((20, 28, 13), 9)
((3, 42, 35), 9)
((10, 39, 28), 9)
((41, 21, 24), 9)
((38, 25, 20), 9)
((46, 60, 18), 9)
((42, 20, 25), 9)
((31, 33, 18), 9)
((4, 43, 35), 9)
((54, 66, 28), 9)
((28, 33, 16), 9)
((13, 36, 23), 9)
((43, 70, 25), 9)
((55, 68, 30), 9)
((0, 37, 34), 9)
((3, 46, 38), 9)
((45, 61, 18), 9)
((12, 38, 26), 9)
((39, 57, 12), 9)
((27, 25, 10), 9)
((35, 28, 18), 9)
((39, 53, 8), 9)
((42, 65, 20), 9)
((13, 37, 24), 9)
((23, 35, 16), 9)
((40, 54, 10), 9)
((25, 33, 16), 9)
((42, 64, 19), 9)
((40, 54, 9), 9)
((63, 74, 40), 9)
((4, 35, 31), 9)
((56, 74, 35), 9)
((43, 59, 15), 9)
((14, 37, 24), 9)
((19, 34, 19), 9)
((42, 62, 17), 9)
((0, 39, 36), 9)
((44, 61, 17), 9)
((19, 31, 16), 9)
((7, 39, 30), 9)
((44, 58, 15), 9)
((9, 41, 30), 9)
((14, 37, 23), 9)
((32, 32, 18), 9)
((50, 60, 21), 9)
((34, 31, 19), 9)
((20, 36, 18), 9)
((6, 45, 35), 9)
((4, 40, 33), 9)
((42, 55, 12), 9)
((40, 23, 22), 9)
((37, 32, 22), 9)
((40, 61, 16), 9)
((5, 41, 33), 9)
((31, 32, 17), 9)
((33, 31, 18), 9)
((25, 34, 16), 9)
((24, 33, 17), 9)
((25, 25, 8), 9)
((39, 58, 13), 9)
((39, 26, 19), 9)
((23, 27, 11), 9)
((38, 29, 16), 9)
((17, 40, 25), 9)
((1, 36, 34), 9)
((8, 40, 30), 9)
((51, 65, 25), 9)
((28, 33, 17), 9)
((11, 40, 28), 9)
((15, 36, 22), 9)
((14, 35, 23), 9)
((35, 27, 18), 9)
((32, 29, 16), 9)
((54, 73, 33), 9)
((42, 58, 14), 9)
((47, 59, 18), 9)
((6, 42, 33), 9)
((45, 65, 21), 9)
((44, 62, 18), 9)
((7, 43, 33), 9)
((28, 26, 11), 9)
((40, 62, 17), 9)
((5, 44, 35), 9)
((58, 69, 33), 9)
((36, 53, 6), 9)
((24, 34, 16), 9)
((42, 63, 18), 9)
((38, 51, 6), 9)
((48, 65, 23), 9)
((40, 59, 14), 9)
((0, 36, 34), 9)
((33, 35, 21), 9)
((30, 33, 18), 9)
((46, 59, 17), 9)
((42, 59, 14), 9)
((43, 57, 14), 9)
((48, 62, 21), 9)
((16, 37, 23), 9)
((15, 40, 26), 9)
((2, 45, 38), 9)
((39, 25, 20), 9)
((0, 46, 40), 9)
((47, 63, 21), 9)
((58, 74, 36), 8)
((49, 53, 45), 8)
((53, 60, 24), 8)
((62, 64, 62), 8)
((61, 65, 62), 8)
((39, 36, 26), 8)
((22, 35, 17), 8)
((23, 34, 18), 8)
((37, 26, 19), 8)
((50, 45, 40), 8)
((15, 39, 25), 8)
((46, 49, 40), 8)
((18, 33, 18), 8)
((41, 30, 25), 8)
((71, 72, 74), 8)
((36, 35, 23), 8)
((63, 62, 34), 8)
((57, 73, 35), 8)
((21, 36, 17), 8)
((52, 67, 27), 8)
((4, 37, 30), 8)
((57, 62, 57), 8)
((0, 41, 37), 8)
((33, 36, 22), 8)
((18, 38, 23), 8)
((42, 39, 30), 8)
((34, 28, 17), 8)
((19, 32, 17), 8)
((42, 71, 26), 8)
((51, 64, 24), 8)
((47, 48, 40), 8)
((40, 28, 17), 8)
((40, 60, 15), 8)
((27, 34, 18), 8)
((47, 61, 19), 8)
((41, 72, 27), 8)
((28, 34, 18), 8)
((43, 71, 26), 8)
((36, 31, 21), 8)
((15, 37, 21), 8)
((43, 62, 17), 8)
((11, 42, 30), 8)
((18, 40, 25), 8)
((67, 66, 67), 8)
((13, 41, 28), 8)
((55, 70, 31), 8)
((38, 27, 18), 8)
((39, 29, 16), 8)
((59, 60, 57), 8)
((67, 69, 69), 8)
((41, 37, 28), 8)
((46, 56, 16), 8)
((47, 74, 30), 8)
((41, 73, 28), 8)
((58, 61, 57), 8)
((43, 68, 23), 8)
((46, 73, 29), 8)
((3, 35, 32), 8)
((20, 31, 16), 8)
((43, 73, 28), 8)
((56, 69, 31), 8)
((59, 61, 30), 8)
((67, 59, 62), 8)
((60, 59, 57), 8)
((38, 28, 17), 8)
((9, 45, 33), 8)
((24, 25, 8), 8)
((29, 33, 16), 8)
((37, 30, 21), 8)
((28, 25, 11), 8)
((24, 21, 5), 8)
((22, 25, 10), 8)
((16, 32, 19), 8)
((12, 43, 30), 8)
((14, 35, 22), 8)
((24, 24, 7), 8)
((43, 63, 18), 8)
((39, 31, 14), 8)
((50, 52, 45), 8)
((26, 35, 16), 8)
((21, 35, 19), 8)
((53, 49, 45), 8)
((41, 31, 25), 8)
((53, 69, 29), 8)
((25, 34, 17), 8)
((61, 58, 57), 8)
((52, 68, 28), 8)
((41, 71, 26), 8)
((19, 33, 18), 8)
((23, 36, 17), 8)
((53, 67, 28), 8)
